"epoch","train_DQN - _step","train_DQN - _step__MIN","train_DQN - _step__MAX","train_DQN - test/total_reward","train_DQN - test/total_reward__MIN","train_DQN - test/total_reward__MAX"
"0","101","101","101","4","4","4"
"1","213","213","213","5","5","5"
"2","325","325","325","3","3","3"
"3","437","437","437","0","0","0"
"4","549","549","549","2","2","2"
"5","661","661","661","5","5","5"
"6","773","773","773","5","5","5"
"7","885","885","885","6","6","6"
"8","997","997","997","3","3","3"
"9","1109","1109","1109","2","2","2"
"10","1221","1221","1221","3","3","3"
"11","1333","1333","1333","4","4","4"
"12","1445","1445","1445","5","5","5"
"13","1557","1557","1557","9","9","9"
"14","1669","1669","1669","4","4","4"
"15","1781","1781","1781","8","8","8"
"16","1893","1893","1893","5","5","5"
"17","2005","2005","2005","5","5","5"
"18","2117","2117","2117","6","6","6"
"19","2229","2229","2229","7","7","7"
"20","2341","2341","2341","4","4","4"
"21","2453","2453","2453","8","8","8"
"22","2565","2565","2565","7","7","7"
"23","2677","2677","2677","4","4","4"
"24","2789","2789","2789","7","7","7"
"25","2901","2901","2901","7","7","7"
"26","3013","3013","3013","8","8","8"
"27","3125","3125","3125","5","5","5"
"28","3237","3237","3237","6","6","6"
"29","3349","3349","3349","10","10","10"
"30","3461","3461","3461","6","6","6"
"31","3573","3573","3573","7","7","7"
"32","3685","3685","3685","8","8","8"
"33","3797","3797","3797","7","7","7"
"34","3909","3909","3909","10","10","10"
"35","4021","4021","4021","10","10","10"
"36","4133","4133","4133","9","9","9"
"37","4245","4245","4245","10","10","10"
"38","4357","4357","4357","8","8","8"
"39","4469","4469","4469","8","8","8"
"40","4581","4581","4581","8","8","8"
"41","4693","4693","4693","9","9","9"
"42","4805","4805","4805","8","8","8"
"43","4917","4917","4917","8","8","8"
"44","5029","5029","5029","10","10","10"
"45","5141","5141","5141","10","10","10"
"46","5253","5253","5253","10","10","10"
"47","5365","5365","5365","7","7","7"
"48","5477","5477","5477","8","8","8"
"49","5589","5589","5589","7","7","7"
"50","5701","5701","5701","7","7","7"
"51","5813","5813","5813","10","10","10"
"52","5925","5925","5925","9","9","9"
"53","6037","6037","6037","9","9","9"
"54","6149","6149","6149","10","10","10"
"55","6261","6261","6261","10","10","10"
"56","6373","6373","6373","8","8","8"
"57","6485","6485","6485","10","10","10"
"58","6597","6597","6597","9","9","9"
"59","6709","6709","6709","8","8","8"
"60","6821","6821","6821","8","8","8"
"61","6933","6933","6933","9","9","9"
"62","7045","7045","7045","10","10","10"
"63","7157","7157","7157","10","10","10"
"64","7269","7269","7269","10","10","10"
"65","7381","7381","7381","9","9","9"
"66","7493","7493","7493","9","9","9"
"67","7605","7605","7605","10","10","10"
"68","7717","7717","7717","10","10","10"
"69","7829","7829","7829","9","9","9"
"70","7941","7941","7941","10","10","10"
"71","8053","8053","8053","9","9","9"
"72","8165","8165","8165","9","9","9"
"73","8277","8277","8277","9","9","9"
"74","8389","8389","8389","9","9","9"
"75","8501","8501","8501","8","8","8"
"76","8613","8613","8613","9","9","9"
"77","8725","8725","8725","8","8","8"
"78","8837","8837","8837","10","10","10"
"79","8949","8949","8949","10","10","10"
"80","9061","9061","9061","10","10","10"
"81","9173","9173","9173","9","9","9"
"82","9285","9285","9285","10","10","10"
"83","9397","9397","9397","9","9","9"
"84","9509","9509","9509","8","8","8"
"85","9621","9621","9621","10","10","10"
"86","9733","9733","9733","10","10","10"
"87","9845","9845","9845","9","9","9"
"88","9957","9957","9957","9","9","9"
"89","10069","10069","10069","7","7","7"
"90","10181","10181","10181","8","8","8"
"91","10293","10293","10293","9","9","9"
"92","10405","10405","10405","10","10","10"
"93","10517","10517","10517","9","9","9"
"94","10629","10629","10629","8","8","8"
"95","10741","10741","10741","8","8","8"
"96","10853","10853","10853","10","10","10"
"97","10965","10965","10965","9","9","9"
"98","11077","11077","11077","9","9","9"
"99","11189","11189","11189","10","10","10"
